meses,vendas
jan/17,2610
fev/17,2360
mar/17,3840
abr/17,3645
mai/17,3065
jun/17,3180
jul/17,3700
ago/17,4515
set/17,3195
out/17,3255
nov/17,2680
dez/17,3980
jan/18,3170
fev/18,2700
mar/18,3500
abr/18,3260
mai/18,2570
jun/18,2635
jul/18,2795
ago/18,3405
set/18,2185
out/18,1920
nov/18,1395
dez/18,1760
jan/19,1350
fev/19,1575
mar/19,2450
abr/19,2690
mai/19,2275
jun/19,2190
jul/19,3025
ago/19,3735
set/19,2895
out/19,2630
nov/19,1870
dez/19,2310
jan/20,1795
fev/20,1765
mar/20,2560
abr/20,2270
mai/20,2070
jun/20,1970
jul/20,2250
ago/20,2860
set/20,2140
out/20,1995
nov/20,1510
dez/20,1900
