months,sales
2017-01-01,2610
2017-02-01,2360
2017-03-01,3840
2017-04-01,3645
2017-05-01,3065
2017-06-01,3180
2017-07-01,3700
2017-08-01,4515
2017-09-01,3195
2017-10-01,3255
2017-11-01,2680
2017-12-01,3980
2018-01-01,3170
2018-02-01,2700
2018-03-01,3500
2018-04-01,3260
2018-05-01,2570
2018-06-01,2635
2018-07-01,2795
2018-08-01,3405
2018-09-01,2185
2018-10-01,1920
2018-11-01,1395
2018-12-01,1760
2019-01-01,1350
2019-02-01,1575
2019-03-01,2450
2019-04-01,2690
2019-05-01,2275
2019-06-01,2190
2019-07-01,3025
2019-08-01,3735
2019-09-01,2895
2019-10-01,2630
2019-11-01,1870
2019-12-01,2310
2020-01-01,1795
2020-02-01,1765
2020-03-01,2560
2020-04-01,2270
2020-05-01,2070
2020-06-01,1970
2020-07-01,2250
2020-08-01,2860
2020-09-01,2140
2020-10-01,1995
2020-11-01,1510
2020-12-01,1900
